iter	Passed	Remaining
411	4996	19259
412	5000	19213
413	5014	19208
414	5025	19192
415	5039	19188
416	5042	19142
417	5059	19148
418	5065	19113
419	5082	19120
420	5085	19075
421	5089	19029
422	5092	18985
423	5095	18939
424	5113	18950
425	5119	18916
426	5128	18892
427	5134	18857
428	5152	18867
429	5164	18856
430	5167	18812
431	5176	18788
432	5187	18773
433	5201	18769
434	5205	18726
435	5223	18736
436	5226	18694
437	5229	18650
438	5238	18627
439	5247	18605
440	5259	18593
441	5277	18601
442	5283	18568
443	5300	18576
444	5310	18555
445	5313	18512
446	5323	18493
447	5341	18504
448	5347	18473
449	5368	18490
450	5372	18450
451	5381	18429
452	5387	18398
453	5390	18356
454	5401	18342
455	5407	18310
456	5410	18269
457	5413	18227
458	5428	18226
459	5446	18235
460	5465	18247
461	5469	18208
462	5487	18217
463	5506	18227
464	5525	18239
465	5528	18199
466	5531	18158
467	5549	18166
468	5555	18135
469	5558	18095
470	5576	18103
471	5583	18074
472	5597	18071
473	5603	18041
474	5626	18062
475	5660	18122
476	5675	18122
477	5693	18128
478	5696	18089
479	5714	18097
480	5748	18153
481	5760	18140
482	5769	18119
483	5787	18127
484	5805	18134
485	5823	18141
486	5826	18102
487	5832	18072
488	5864	18120
489	5873	18100
490	5885	18089
491	5895	18068
492	5925	18111
493	5928	18073
494	5959	18118
495	5965	18088
496	5968	18049
497	5971	18010
498	5989	18016
499	5992	17978
500	5995	17939
501	6001	17910
502	6020	17916
503	6026	17887
504	6029	17849
505	6047	17855
506	6059	17844
507	6068	17823
508	6071	17786
509	6086	17783
510	6095	17762
511	6104	17740
512	6122	17746
513	6140	17753
514	6159	17762
515	6192	17808
516	6201	17787
517	6204	17750
518	6207	17713
519	6224	17716
520	6228	17680
521	6245	17683
522	6269	17704
523	6272	17669
524	6290	17673
525	6293	17637
526	6302	17614
527	6307	17585
528	6311	17549
529	6314	17512
530	6317	17475
531	6328	17461
532	6331	17425
533	6334	17389
534	6340	17361
535	6343	17326
536	6349	17297
537	6352	17263
538	6355	17227
539	6375	17236
540	6384	17216
541	6390	17190
542	6393	17155
543	6407	17149
544	6410	17115
545	6414	17080
546	6425	17068
547	6428	17034
548	6440	17021
549	6443	16987
550	6449	16961
551	6453	16927
552	6456	16893
553	6462	16867
554	6482	16876
555	6488	16851
556	6497	16832
557	6503	16806
558	6517	16802
559	6521	16769
560	6528	16745
561	6531	16712
562	6552	16723
563	6558	16698
564	6561	16665
565	6580	16671
566	6584	16640
567	6587	16607
568	6593	16581
569	6612	16589
570	6629	16590
571	6650	16603
572	6654	16572
573	6657	16540
574	6666	16522
575	6685	16527
576	6703	16532
577	6715	16522
578	6719	16490
579	6737	16495
580	6757	16504
581	6771	16498
582	6775	16469
583	6780	16440
584	6803	16457
585	6808	16428
586	6814	16404
587	6818	16372
588	6823	16347
589	6827	16316
590	6836	16298
591	6858	16312
592	6877	16317
593	6886	16299
594	6889	16268
595	6901	16258
596	6908	16235
597	6926	16239
598	6933	16215
599	6952	16221
600	6958	16198
601	6961	16167
602	6967	16142
603	6988	16151
604	6991	16122
605	7004	16112
606	7011	16089
607	7026	16087
608	7045	16093
609	7055	16078
610	7064	16060
611	7083	16065
612	7099	16063
613	7115	16061
614	7134	16066
615	7153	16073
616	7163	16057
617	7177	16051
618	7207	16081
619	7226	16085
620	7256	16113
621	7263	16091
622	7296	16127
623	7305	16109
624	7328	16123
625	7337	16104
626	7343	16081
627	7347	16051
628	7364	16052
629	7382	16053
630	7389	16032
631	7393	16002
632	7415	16013
633	7435	16019
634	7456	16028
635	7463	16005
636	7496	16041
637	7501	16013
638	7519	16015
639	7545	16034
640	7565	16039
641	7576	16026
642	7588	16015
643	7598	15998
644	7602	15970
645	7614	15960
646	7621	15939
647	7639	15939
648	7658	15941
649	7687	15966
650	7691	15938
651	7695	15911
652	7699	15882
653	7703	15854
654	7706	15825
655	7721	15819
656	7745	15833
657	7753	15814
658	7758	15788
659	7770	15776
660	7810	15822
661	7819	15803
662	7828	15787
663	7843	15782
664	7873	15805
665	7896	15816
666	7900	15788
667	7926	15806
668	7933	15784
669	7945	15773
670	7958	15762
671	7961	15734
672	7965	15705
673	7971	15682
674	7994	15692
675	8008	15684
676	8011	15656
677	8035	15667
678	8051	15664
679	8072	15669
680	8076	15643
681	8087	15630
682	8101	15621
683	8133	15648
684	8153	15651
685	8158	15627
686	8172	15619
687	8202	15641
688	8215	15631
689	8225	15616
690	8245	15619
691	8249	15593
692	8266	15590
693	8273	15570
694	8277	15542
